node_size,seconds
630,132.83
630,40.81
630,23.77
630,59.48
630,135.62
630,27.99
630,11.08
630,70.21
640,51.83
640,128.55
640,56.56
640,108.31
640,411.94
640,49.48
640,12.66
640,30.44
640,13.68
640,45.25
650,439.28
650,114.53
650,30.00
650,78.98
650,171.71
650,22.62
650,88.48
650,23.82
650,88.33
650,47.17
660,299.41
660,758.55
660,131.88
660,115.26
660,156.76
660,14.14
660,105.56
660,18.56
660,257.88
660,102.13
670,73.45
670,160.44
670,111.48
670,26.13
670,252.86
670,74.61
670,202.33
670,76.69
670,228.81
670,501.08
680,642.23
680,263.18
680,339.06
680,94.71
680,47.16
680,56.64
680,176.36
680,365.49
680,54.76
680,179.27
690,57.09
690,283.16
690,7.27
690,62.39
690,41.76
690,66.52
690,27.03
690,45.18
690,23.49
690,38.43
700,19.14
700,119.03
700,234.26
700,34.51
700,197.05
700,720.56
700,70.79
700,68.86
700,406.71
700,46.74
710,166.90
710,91.61
710,23.81
710,13.49
710,37.92
710,325.36
710,107.79
710,56.86
710,35.26
710,141.01
720,42.15
720,48.66
720,52.03
720,30.95
720,48.34
720,316.68
720,99.39
720,153.56
720,26.22
720,160.52
730,18.42
730,61.68
730,192.51
730,188.94
730,354.64
730,63.39
730,22.31
730,41.05
730,9.59
730,98.58
740,153.11
740,137.49
740,36.49
740,108.09
740,64.84
740,14.63
740,41.03
740,119.49
740,349.38
740,62.23
750,23.87
750,27.20
750,83.24
750,40.56
750,492.58
750,26.60
750,446.36
750,766.83
750,112.69
750,92.57
760,116.30
760,512.82
760,440.88
760,224.28
760,326.84
760,155.80
760,417.32
760,235.68
760,326.58
760,68.97
770,222.71
770,40.19
770,198.93
770,106.98
770,284.69
770,20.80
770,591.61
770,222.55
770,15.16
770,73.43
780,72.62
780,199.23
780,86.62
780,251.21
780,186.27
780,353.00
780,37.80
780,229.10
780,437.70
780,94.83
790,221.87
790,123.42
790,205.41
790,581.02
790,258.22
790,100.54
790,65.92
790,173.58
790,325.40
790,116.33
800,12.53
800,219.17
800,245.49
800,240.88
800,74.60
800,105.69
800,19.72
800,1943.40
800,156.97
800,113.64
810,203.06
810,219.76
810,135.76
810,155.30
810,226.98
810,65.46
810,57.62
810,26.23
810,236.97
810,17.68
820,128.18
820,104.29
820,278.35
820,86.28
820,94.35
820,294.57
820,81.20
820,459.76
820,61.60
820,69.60
830,85.09
830,161.71
830,115.44
830,639.49
830,36.02
830,523.98
830,196.98
830,14.64
830,458.93
830,170.04
840,131.90
840,86.59
840,23.51
840,54.04
840,158.04
840,147.51
840,168.73
840,768.97
840,100.59
840,76.32
850,128.39
850,217.51
850,119.24
850,228.32
850,258.96
850,14.49
850,80.19
850,228.24
850,123.56
850,40.17
860,71.52
860,418.81
860,223.35
860,387.52
860,63.33
860,142.63
860,179.65
860,156.92
860,155.73
860,973.32
870,323.08
870,7.93
870,431.59
870,840.47
870,1399.26
870,359.16
870,108.14
870,31.15
870,202.58
870,748.37
880,145.32
880,103.01
880,109.31
880,28.59
880,41.04
880,146.36
880,191.33
880,61.62
880,113.37
880,211.53
890,136.05
890,310.72
890,1335.44
890,577.24
890,90.92
890,33.33
890,109.89
890,307.68
890,66.90
890,345.41
900,46.36
900,409.82
900,168.80
900,446.50
900,51.32
900,114.95
900,171.95
900,78.68
900,711.93
900,820.06
910,16.87
910,1815.75
910,154.66
910,882.01
910,2035.92
910,40.87
910,626.90
910,194.88
910,122.58
910,266.56
920,292.05
920,417.19
920,42.41
920,243.79
920,443.72
920,278.64
920,221.06
920,326.82
920,97.48
920,438.35
930,99.71
930,94.59
930,44.58
930,213.57
930,136.24
930,383.78
930,74.56
930,642.76
930,13.84
930,222.95
940,121.16
940,545.16
940,378.25
940,71.80
940,240.94
940,627.70
940,401.36
940,48.74
940,179.27
940,682.87
950,44.75
950,217.74
950,124.02
950,196.32
950,339.56
950,150.18
950,329.95
950,506.04
950,329.95
950,57.93
960,162.76
960,36.81
960,46.08
960,1019.56
960,310.45
960,177.24
960,50.78
960,41.70
960,182.22
960,527.46
970,763.41
970,121.06
970,238.42
970,483.77
970,51.18
970,59.94
970,288.83
970,152.24
970,70.07
970,468.98
980,39.36
980,1112.61
980,26.29
980,96.75
980,25.70
980,85.02
980,114.55
980,224.17
980,175.45
980,569.06
990,1038.37
990,86.12
990,1143.47
990,186.31
990,82.04
990,20.96
990,3393.36
990,287.54
990,520.44
990,103.74
1000,162.01
1000,967.75
1000,129.44
1000,658.13
1000,229.61
1000,57.26
1000,87.51
1000,176.71
1000,71.64
1000,519.61
1010,15.80
1010,223.57
1010,175.91
1010,354.05
1010,76.38
1010,458.30
1010,386.23
1010,57.92
1010,150.77
1010,288.11
1020,334.35
1020,534.40
1020,382.33
1020,29.64
1020,440.50
1020,389.04
1020,110.97
1020,501.00
1020,982.03
1020,132.44
1030,954.66
1030,693.52
1030,217.67
1030,31.06
1030,121.66
1030,234.90
1030,76.90
1030,1204.50
1030,1072.95
1030,105.59
1040,59.28
1040,310.68
1040,194.86
1040,549.55
1040,280.78
1040,271.10
1040,375.98
1040,195.22
1040,500.62
1040,466.99
1050,74.83
1050,431.42
1050,100.93
